Username,Ulasan,Keterangan
Siti Aminah,"Liburan sekaligus perpisahan siswa kls 9 MTs Al Fatawi Ngroto...
Terdapat banyak satwa, tempatnya luas, nyaman, sejuk..",1
Kim Cherry,Tiket masuk 15k/orang. TIDAK MENERIMA CASH utk pembayaran tiket. Dalam KBS byk yg jualan makanan dn minuman. Overall bagus dan msh worth the price👌🏻Murah meriah dn menyenangkan👌🏻 …,1
Jefri Rizali,Semua lengkap ... Perlu fisik yg sehat karena untuk jalan2 mengelilingi semua butuh tenaga lebih..  mending bawa bekal atau jajan sendiri dari luar soalnya harganya cukup mahal kalau di dalam,0
Baitul Hamdy,"Tempat lumaya gede.
Tiket masuk hanya 15k. …",1
Yoleen Wang,"Sudah molai bagus tepatnya, tapi sayang binatangnya sudah gak banyak seperti dulu... Tempatnya juga bersih dan rapi.. tiket masuknya sangat murah hanya 15k saja.",1
Gita Danastri,Worth banget dengan harga tiket 15 ribu rupiah tapi sudah bisa melihat satwa satwa koleksi kebun binatang. Datang hari Sabtu siang pengunjung tidak terlalu ramai. Pernah datang minggu pagi ramainya luar biasa 😅. Cuma sayangnya tempat sampah …,2
Azurea 19,"Bagus banget, sambil lihat bermacam2 hewan, biaya tiket juga terjangkau, wisata menyenangkan untuk anak2, tapi saran kalau kesini siang2, bawa topi, karena meskipun banyak pepohonan, masih terasa terik dikepala.",1
Afi Suhartono,"Wisata edukasi di tengah kota surabaya. Banyak macam satwa. Tiket bisa langsung beli di loket. Pembayaran bisa lewat qr code maupun tunai. Ga rugi kesini dengan harga Rp 15.000 bisa lihat semua satwa. Tempatnya juga bersih. Ada foodcourt, musola, wc. Asik pokoknya",1
Tarmuji Muzi,"Tempat yang sangat nyaman untuk liburan keluarga dan edukasi anak tentang mengenal binatang..
Tiket masuk terjangkau..sayang ada beberapa wahana yang harus bayar sendiri diluar tiket masuk",1
Kinia Eldwita,"Binatangnya kurang lengkap, namun untuk koleksi burungnya sangat banyak di sini. Para binatang terpelihara dan terjaga dengan baik. Kebersihan bagus. Tempat jajan juga banyak di sini dan murah juga. Sayangnya enggak ada toko souvenir yang …",0
Tri Wahyuningsih,"Bagus banget utk ajang belajar anak2, dan perlu waktu seharian utk bisa mengelilingi areal kebun binatang",1
Anggie yulia,"Wajah baru kbs sekarang bersih dan rapi, semoga nanti zona aquarium bisa makin bagus yaa. Keep it up, good job",1
Neesa Rahayu,"Sudh lama sekali tdk keKBS ternyata banyak perubahan, lokasinya sudh pavingan semua jadi gak takut becek, toiletnya juga bersih banyak pilihan makann buat jajan. Disini boleh bawa makanan tapi dilarang bawa tikar ya nntn disita lho alias …",1
Abigail Andin,"Lebih bagus daripada jaman ku SD ke bonbin cuma disuru duduk depan kolam putri duyung sambil di dongengi kalau bakal ada putri duyung keluar dari aer yg kotor tp ga keluar keluar ,keliling ga ada hewan dan ga ada pengunjung sampe ada satu …",1
Arif Kurniawan,Sebenarnya dengan harga tiket segitu sudah sangat murah ya dengan berbagai jenis hewan yang ada. Tapi sayang agak terkesan kurang terawat kebersihan dan fasilitas pendukungnya,0
Achmad Fauzi,"Dari pintu masuk petugas loket sudah melarang pengunjung agar tidak merokok di Area/dalam KBS, sedangkan petugas KBS se enaknya sendiri merokok di dalam Area KBS. …",2
novi dwanty,"Lama bgt ngga main ke kebun binatang surabaya skrg sudah makin bagus, beraneka ragam hewan nya juga sehat2 pada aktif.
Informatif jugaa banyak denah2 yg dipasang disekitaran lokasi (ada di foto) jadi …",1
oz yy,"Kesini beberapa kali pas lagi gabut pagi2, harga HTM weekend @Rp. 15.000 , parkir motor @Rp. 5.000",1
Melisa Yulianggara,Lokasi destinasi keluarga yang bisa d kunjungi waktu main k Surabayaa…. Luas banget tempatnyaa bisa utk sarana edukasi anak2 jugaaa..Utk HtM 15rbu anak 2thn k atas udah bayar,1
Yuli Widayati,Sebenarnya lumayan bagus untuk ukuran kebun binatang tengah kota. Tapi sayangnya beberapa fasilitas dibiarkan mangkrak dan seolah2 terlihat kotor dan tidak terurus. Tapi so far masih se rame dulu. Karena mungkin harga tiket yang terjangkau daripada kebun binatang yg lain.,0
Firda Aulia,"A good place to spend time with ur beloved one! Tempat sejuk, banyak hijauan, cukup bersih, banyak jajanan. Lumayan buat bakar lemak jalan keliling kbs hehe. …",1
ayu ningtyas,"Tempatnya sejuk, banyak pepohonan besar di dalam kebun binatang, kebun binatang ini juga bisa dijadikan hutan kota karena jenis pohonnya juga banyak
Sangat sayang sekali koleksi hewannya hanya sedikit, sangat minim, contohnya …",2
Yoga Aditia,"(+)
- Tempatnya nyaman, asri, banyak pepohonan hijau
- Ada masjid, tempat duduk banyak, tempat makan …",1
Sari S,"Ke sini pas weekday tiket masuk bonbin 15.000, tiket masuk aquarium beda lagi bayar 30.000. Terdapat wahana perahu, bebek kayuh, banyak tempat duduk, musala, toilet, pujasera, dan booth makanan, minuman, serta cinderamata. Tempat sudah …",1
maul husnah,Waktu yang tepat ke KBS di saat weekend menurut saya di jam mau tutup jadi gak seberapa rame.,0
Eko Trisdianto,"Lebih bersih lebih baik dan lebih nyaman & masih ekonomis harga tiketnya.
Cuma di studio aquarium banyak penjelasan ikan tidak sama yg ditampilkan. Jadi agak kecewa, dimana anak saya pas pengen belajar tentang ikan.",0
Indah W Aprilia,"Tempat rimbun meski siang terik, banyak pepohonan, koleksi hewan beragam, pengunjung cukup ramai, biaya tiket 15ribu per orang bisa bayar cash ataupun non tunai di loket. biasanya bisa pesan tiket online juga. Lebih enak parkir di TIJ sih, tidak terlalu ramai.",1
Hariz S,"Bon bin sangat oke, untuk 15rb di weekend sangat worth it. Masukan mungkin di tambahkan tempat khusus menyusui bagi ibu2. Pilihan cemilan banyak dan harga terjangkau, binatang ny banyak juga, cocok utk ajak anak jalan2.",1
karnizayn official,"Tiket Masuk 15k/ orang, anak dibawah 2 Tahun tidak Kena Tiket, Biaya Parkir Standart ... Cocok untuk Wisata Keluarga …",1
Deya Deshinta,"Murah. Tiket masuk 15k, bayar pake qris. Tiket mobil 8k. Tp sayang klo mau ke aquarium bayar 35k 🥲 …",0
fery syarifuddin,"Untuk kebersihan kebun nya di jaga, harga tiket 15k per orang dgn tinggi 85cm.
Cuman fitur"" didalam menurut sya agak ""mahal"".
Foto 6r=10k  perahu engkol 50k= 1 putaran yang jarakx tidak jauh.
Kebersihan tempat berswafoto di atas  gedung kurang.",0
Elina Danau,"Tiket masuk : 15.000
ketika masuk parkir luas .
Antri scan apilkasi peduli lindungi. …",1
MUHAMMAD LUQMAN ANSHORI,"Ramai bangettt pas berkunjung hari sabtu. Harga tiket murah 15 K, koleksi hewan banyak dan sehat2,,,",1
Liko Purba,"Terakhir kesini mungkin ada klo 10 tahun yang lalu, kemarin kesini lagi sudah banyak yg berubah, jadi semakin bagus dan bersih.",0
deby madiatiningtyas,Agak sedih juga karena ada beberapa ikan yang tampak sakit dan kesepian... Menatap mata beruang madu usia remaja  yang melankolis sekaliiiii....,2
dimas diga,"Terakhir kali kesini 2009. Begitu 2021 kesini udah jauh lebih bagus, bersih, banyak wahana baru. Kandang2 terawat. Harga makanan tetep bersahabat untuk ukuran tempat wisata. Manteb lah",1
Evi Liani,Tempat edukasi yg tepat utk anak agar mereka mencintai dan peduli pd hewan. Tempatx luas dan lumayan adem krn byk pohon tinggi. Tp pas diluar tk foto agak maksa memberi jasa. Akhirx mau jg difoto ternyata dicetakan foto ga ada tulisan apa2...kalo tau gt mah pake hp sendiri aja...,0
viky zakyati,"Sangat cocok untuk keluarga, pusat pendidikan buat belajar satwa, macam macam binatang ada , tempat sangat sejuk",1
suci valentina,Sudah banyak berubah..makin bagus. Banyak dbangun taman. Makin rindang jd enak bt ajak anak2. Saat kesana lihat rusa yg msh lapar. Jd klo mau ksna jgn lupa bawa sayur/wortel ya. Pasti anak2 suka ngasih makan rusa karena skrg sistemnya ky taman safari. Ada pertunjukan buring jg.,1
Almira Harwidya Irenasari,"menyenangkan untuk refreshing, ada banyak makanan dan minuman yang dijual di dalam area kebun binatang jadi ga perlu takut kelaparan atau kehausan",1
filanny risakotta,"Sekolah kami melakukan Fieldtrip di sana.
KBSnya sudah semakin bagus, hanya saja sedikit binatangnya, jadi terlihat kosong di masing² kandangnya.. …",0
dony novy,"Tempat edukasi yg baik untuk anak sd kebawah, mohon dipercantik lagi tamannya dan lebih diperhatikan kondisi satwanya",1
Rizky GP,Tempatnya asik untuk wisata keluarga.. Lebih sering dateng kesana supaya hewan2 jadi tambah sehat.,1
dian,"Udah beberapa kali kesini.. sekarang bonbin surabaya makin bagus, bersih, terawat.. binatang makin sehat dan lengkap juga. Suka banget main kesini..",1
Suci Wulandari,"wisata di surabaya yang udah terkenal sejak lama, harga tiket masih wajar, tempatnya bagus adem, tapi kebersihan selokan harusnya bisa lebih diperhatikan lagi buat kedepannya. yang saya suka disini banyak pedagang kaki lima jadi bisa kuliner macam-macam",1
Salmaa Yeah,"banyak koleksi hewannya. tempat luas banget sampe hampir nyasar. banyak spot yang bagus tapi jarang dilihat orang, jadi usahakan eksplor semuanya. berasa di habitat asli karena kandangnya dibuat semirip mungkin. suasananya teduh kareba banyak pohon. tiket 15ribu tidak include akuarium dan reptil. parkir motor 5000",1
winda paraswati,"Weekend kesini ruame pool., Sampe sampe yg diliat bukan hewan""nya., Heheh.,
Untuk kebersihan mantap,. Hewan"" lumyan lengkap., Toilet nya banyak dan  bersih., …",1
Moh Ilham,"Kesana pas suasana lebaran jadi rame banget,tempatnya teduh aku dengar katanya disini hewannya lengkap ,tapi kenapa saya merasa kurang lengkap dan untuk melihat ikan harus bayar lagi padahal di awal kan kita udah bayar tiket masuk",0
Qory Azzahra,"Cocok buat bawa liburan anak, tiketnya emang murah tapi nanti masih bayar2 lagi, masuk akuarium aja masih bayar lagi. Trs jenis hewannya juga mulai berkurang.
Banyak asap rokok banget, tempat liburan anak tapi tidak ramah anak lingkungannya",2
Achmad Sutriono92,Letaknya strategis deket terminal joyoboyo bisa naik surabaya bus /trans semanggi atau bisa juga naik kereta turun di stasiun wonokromo.  Tiket masuk 15k /orang. Kalo mau ke aquarium lihat jenis2 ikan bayar lagi 30k. Fasilitas juga lengkap ada toilet dan mushola.,1
Raysa R. Anggiani,"Harga tiketnya relatif terjangkau (15 ribu), tempatnya adem dan rindang, banyak koleksi hewannya, ada beberapa spot foto yang menarik juga. Fasilitas yang ada juga cukup memadai, ada masjid, food court, dan stand-stand jajanan/suvenir.",1
Wahyu Setya Permadi,"Lokasinya sejuk di tengah Kota Surabaya yang  panas. Parkirnya bisa di gedung terminal joyoboyo, tinggal nyebrang jalan. Gampang untuk yang dari arah selatan.
Sayangnya, dari sisi fasilitas, terasa sekali masih jadul. Waktu seperti …",0
Lintang Prameswari,"Harga tiket 15.000/pax
Parkir 5.000 utk sepeda motor
Kamar mandi sangat bersih dan wangi …",1
dessi fitria,"Tiket masuk kebun binatang 15k/orang
The Adventure Aquanoctudio Park of Zoorabaya: Rp 30.000
Animal Edutainment: Rp 25.000 …",1
Hanif M,"Kebun Binatang Surabaya (KBS) atau Surabaya Zoo adalah salah satu kebun binatang yang populer di Indonesia dan terletak di Surabaya. KBS merupakan kebun binatang yang pernah terlengkap se-Asia Tenggara, di dalamnya terdapat lebih dari 230 …",1
Wita R S,"Tiket masuknya 15.000 rupiah, tempatnya memadai dan asri. Ada toilet dan stall penjual makanan ringan. Pas kesini ngga ketemu sama singa jantan dan harimau, huhu sedih.",0
iqbal_ i.d,"Tempatnya bagus, koleksi hewannya lumayan banyak, bersih, pepohonan sangat rindang, tersedia spot-spot foto kekinian juga.",1
AYA Afrilya,"Merupakan tempat wisata edukasi tentang satwa kepada anak2 dan tempat liburan tipis2 dg keluarga.
tiket masuknya Rp15.000 per orang  murah sekali untuk wisata sejenis ini. …",1
linda yuliana,"Tempat rindang, hewan variatif, tempat duduk banyak, rute cukup jelas jika memahami peta yg ada di pajang dikawasan kbs, makan minum banyak tersedia di dlam kbs, menyenangkan berkunjung bersama anak..ke bagian akuarium dan  reptil perlu …",1
Ozima,"Kesini pas hari rabu tgl 8 februari 2023, bertepatan mendampingi anak wisata PAUD.
Penuh banget pengunjungnya, parkir mobil sampai jauh banget jalan kaki untuk …",0
Totok A Widodo,Hewannya beragam. Paling banyak monyet dan rusa. Yang kurang peta kawasan. Kalo bagi yg pertama pasti sulit cari lokasi2 tujuan. Muterin semua kawasan sekitar 30 menit sudah bisa.,0
Nyta Narda Wijaya,"Salah satu tempat wisata legend di Surabaya Jawa Timur , untuk tiket sekarang sudah kembali normal  sudah bisa di beli secara offline👍🏻 …",1
rosy shofiana,"kebun binatang yg berisi aneka ragam hewan, tiket masuk murah 15rb/orang, anak tinggi >85cm kena tiket, sayangnya hewannya dikit macamnya,jd beberapa kandang itu hanya 1 macam hewan,,tp kbs ini cukup menghibur anak2 dtengah kota sby,",0
Lenz W,"Lumayan terawat tapi hewannya kebanyakan burung berbagai jenis, hewan buasnya tidak terlalu banyak.. jalan kakinya lumayan, kalau ajak anak lebih baik pake stroller.. dan pakai topi karena cukup panas",0
Amalina Farahiya,"tiket masuk sangat terjangkau, fasilitas masih perlu banyak ditingkatkan seperti kursi duduk, kebersihan kandang, dan toilet.",2
Depi Lestari,hari sabtu yang banyak pengunjung tapi gak berdesak2an dan banyak spot foto dan alhamdulillah hewannya tidak tidur soalnya pas siang hari 😅 …,1
Polar Bear,"Tempatnya rindang, nyaman, sejuk, dan banyak beragam hewan satwa yang unik
Tempatnya jg bersih dan selalu di perhatikan",1
Yudda Rahardian,"sekarang lebih tertata yaa, nyaman banget la mana pohonnya rimbun gt kan.

pls bagi pengunjung sampahnya tolongg banget d buang pada tempatnya, enak banget …",1
Lalita Hanief,"Seru.. banyak binatang2 seperti gajah, jerapah, burung, rusa, reptil, dll.. ada food court juga yg jual aneka jajanan.. jangan lupa berfoto di ikon Suro dan Boyo..",1
CIII_19_RATNA KUSUMANING WULANDHARI,"Murah, bagus dan tertata. Sayang banget wastafel untuk cuci tangan sangat minim. Semoga bisa ditambah meski pandemi akan usai",0
M. Abd. Rahim,"KBS Moment Day

Sebelum kesini ada 2 bulan lebih ga keturutan. Mau daftar online kesulitan. Cari …",0
Faizzah Marufah,"Tiket masuk bonbin 15k per orang
Masuk ke zona reptil klo ga salah 30k, atau 35k?Sy lupa 🤣 maaf ya netijen 🙏
Saran sy sih jangan parkir diluar.. mending parkir di dalem bonbin nya aja, …",0
Didik Simetris,"Baru pertama kali masuk KBS, harga tiket terjangkau 15rb, hewan lumayan lengkap, bingung waktu masuk, harus ada petunjuk arah atau rute urutan dari awal sampai akhir",0
Chynta,"Dari alun alun Surabaya naik Suroboyo bus rute 2 halteny sblh knan pintu masuk alun alun dekat jembatan penyebrangan. Lp turun halte yg mn,blg aja Bonbin dr halte naik jembatan penyeberangan sdh Bonbin. Plg dr Bonbin lewat pintu keluar arah …",0
Novitasari,"Tetap menjadi tujuan wisata legenda keluarga, sudah banyak perubahan dalam bangunannya. Dengan peraturan tidak boleh membawa tikar membuat KBS lebih bersih dan tidak kotor. Banyak tempat untuk beristirahat, banyak tempat menyediakan makanan …",1
Redaksi Loka Media Cabang Surabaya,"Di luar kbs banyak pungli parkir liar.

Parkir saja di dalam kbs lebih aman dan nyaman. …",1
Icha Annastasia,Beberapa kali kesini seneng sih jalan² liat binatang. Tiket masuknya murah juga. Klo weekend selalu ramai orang² dari luar kota. Boleh bawa makanan dan minuman dari luar tapi di dalam juga banyak yg jualan.,1
Istanti Aveiro,"Terakhir kesini tahun 2017
Kesini lagi 2022 ada beberapa perubahan bangunan/ kandang, ada penghuni baru singa. …",0
Dwi Margi Lestari,"Fun so far, tapi mungkin patung patungnya bisa direnovasi biar bisa jadi spot foto yang bagus",1
Ahmad Muharom,"Kebun binatang surabaya sekarang tempatnya bersih dan nyaman, cocok buat wisata edukasi anak dan keluarga",1
Nadhi Fatul Faricha,"Seru sih sangat cocok untuk education anak anak. Namun perlu ditambah lagi untuk tempat cuci tangannya, mau sholat tapi kran musholanya gak bisa nyala. Padahal sekelas tempat wisata penting banget tempat mushola itu.",2
Dony Kusuma Setyo Budi,"Upaya pihak terkait untuk memajukan dan membuat kbs menjadi lebih baik memang benar adanya, pohon2 tumbuh dengan rindang, lokasi luas dan bersih, banyak tempat untuk duduk2 santai bersama kekuarga, dan yang paling penting , hewan2 nya cukup …",1
Jikarya,"Jangan kesini kalau musim hujan, sarang penyakit, setelah 1 minggu anakku sakit semua, terkena bakteri. Saran ku untuk yang mau berkunjung musim hujan mending di tunda dulu, dari pada lihat si kecil sakit. …",2
Retno Widyastuti,"Tempat lumayan bagus dengan satwa² yg jarang bisa ditemui. Tadi juga ada beberapa rombongan anak sekolah so far good. Cuaca panas bangetttt, cocok yg punya anak2... For info tiket masuk 15k, masuk wahana lain berbayar lagi ya genksss",1
Habieb Suryantoe Mbolangers,"Wahana wisata yg murah meriah buat seluruh kalangan.. Terutama buat anak"" kecil untuk memperkenalkan satwa binatang ...",1
Eka Mashuri,"Tempat rekreasi dan edukasi buat anak ².. Harga tiket masuk nya murah, tempat nya rindang ditengah kota metropolitan...
Weekend selalu ramai pengunjung, yang disayangkan,lahan parkir roda empat yang kurang memadai...",0
widya widowati,"Dari TK mainnya kesini heheh, sekarang makin bagus dan maju, dari KBS lah bisa tau jenis² hewan siip pokoknya 👍 …",1
Dwi Fitriani,"Tambah bagus sekarang tempatnya,tapi sayangnya tiket masuk ke aquarium lebih mahal daripada tiket masuknya",2
anil kim,"tiket masuk murah. macam² jenis hewan ada. sayangnya tdk dilengkapi dgn petunjuk arah. kalau gk tau, jadinya hnya muter² di satu lokasi saja. harusnya ada petunjuk arah. misal kalau mau lihat singa,arahnya kesana gt. tp secara keseluruhan semua bagus kok. cocok banget ngajak anak² ke KBS.",1
Ultraman Kosmos,"Asri, Bersih dan Murah. Harga tiket masuk cukup murah yaitu 15ribu bayarnya bisa pakai tunai atau qris, tapi untuk wahana lain seperti naik gajah dan aquarium bayar lagi kalau ingin masuk. Diperbolehkan bawa makanan dan minuman. Di sana …",1
Indri Peni Puspita,Alhamdulillah bisa ajak anak keliling KBS. Hiburan anak2 sedari saya kecil dulu.,1
Rendi Gunz Channel,"Masuk cukup murah 15rb per orang, anak umur 2thn ke atas ikut kena bayar. Tempatnya cukup luas, tempat aquarium tiket masuk 30rb per orang cukup murah sayang ikannya gak komplet. Parkir bayar 5rb.",0
Rony Zairifani,"Bagus, informatif, cocok buat liburan bareng keluarga, sekalian menambah wawasan dan mengenal macam2 binatang",1
evi ratnasari,"Pengalaman pertama masuk KBS...sempat kaget..pikir t4nya biasa saja..eh ternyata tau2 masuk kedalam..betul2 luar biasa😍😍sukak banget...
T4nya nyaman gitu..trs Adem..d tbah lagi t4x ruame poll...
Pokoknya NNT sy maen lagi dah...😍😍 …",1
arip wahyu,Dapat mengenalkan berbagai binatang yg tidak dapat di jumpai di sekitar rumah tempat tinggal. Edukasi langsung melihat binatangnya.,1
Firana,"Kesini waktu ada acara di surabaya sama keluarga, tempatnya nyaman, bisa liat berbagai macam binatang secara langsung",1
yunita alim,"Sekarang lebih bagus, harga tiket masuk weekdays 15k per orang.
Banyak warung kecil untuk beli makan atau minuman",1
Helena Safitri,"Bagus, bersih, dan cukup luas. Udaranya panas ya Surabaya. Sebaiknya bawa topi atau kipas tangan.",1
Meidiantika Puspitasari,"Kebun binatang legend dari dulu saya kecil, HTM 15 ribu per orang, parkir mobil 8 ribu, pelayanan cukup ramah namun kebersihan kurang dijaga.",0
Dwi Rika,"terakhir kesini sebelum covid 19 utk reuni komunitas, seruuu bgt sih, harga masih 15k per orang, ada mushola buat sholat, toilet juga GRATISS saat itu entah kalo sekarang, buat piknik juga oghey 👍👍 …",1
Diary Qyu,"Sesuai harga kali yahh. Ruameeee bgt kalo dtg nya pas weekend. Gajadi liat hewan malah yg diliat kerumunan manusya 😂 mana surabaya panas lagi, ditambah desak2an bikin makin panas bawaannya emosyi ajaa 😑 …",2
Nimas Shaila,"Puanaseeee, beda sm bonbin taman sari bandung☺ v buat anak2 mah lumayan adj dech",2
Beril Angelo,"bagus, bersih, tiket per orang 15rb aja, kalo ada penyewaan sepeda enak sih, soale lebar banget tempatnya sampe pegel kaki",1
Nerro Ks,"Tempatnya bagus cocok utk rekreasi keluarga, dan pengenalan binatang pada anak anak",1
bunga 16788,"Koleksi binatang nya tambah banyak, fasilitas juga mulai ada penambahan, Bersih, Cocok buat wisata keluarga 🥰👍
Saran ku kalau kesana jangan pas weekend soal e kurang menikmati karena sangking rame nya …",1
Mochammad Affandi,Menikmati akhir pekan bersama keluarga dengan berekreasi sambil mengenal ratusan jenis hewan dan mengamati tingkah polah hewan tersebut adalah sesuatu yang menyenangkan untuk siapa saja. Bahkan kita bisa berinteraksi seperti memberi makan …,1
Moh Junaidi,"Terletak ditengah kota surabaya.
Lokasi mudah di akses dengan angkutan umum.
Tempatnya sejuk. …",1
Eka Putra Pratama,Masih banyak yang harus dibenahi. Beberapa binatang terlihat tida terawat tetapi dipajang dan diperlihatkan kepada pengunjung. Pengunjung diharuskan bayar lagi untuk menikmati wahana-wahana tertentu. Menggunakan toilet pun harus bayar. Semoga kedepannya banyak perubahan ke arah yang lebih baik lagi agar KBS semakin bagus.,2
Andrea Verdian,Hiburan murah dan baik untuk edukasi anak anak di kota surabaya. Tempat sangat luas dan terdapat beraneka ragam hewan. Jalanan didalam KBS juga sangat teduh karena banyak pohon dlbesar. Juga sudah banyak perbaikan dari jaman dulu. Dulu kbs …,1
moker chanel (MoKer Chanel),Sudah lumayan banyak perubahan. Masukan supaya rute bisa di tentukan biar tidak bingung dan kebersihan pengunjung masih belum sadar untuk buang sampah pada tempatnya,0
Heny Mawarni,"Bagus banget, suasananya adem Rindang, banyak pohon2. hewannya juga lumayan banyak. tiket masuk cuma 15k, sangat murah di banding Bonbin lainnya.",1
Fariza Wardah,"Banyak sekali mafia parkir di KBS untuk parkir mobil. Padahal jelas² banyak petugas dishub dan satpam tapi hanya lewat dan melihat saja ke antrian parkir mobil yg panjang, malah banyak mafia parkir yg berebut. …",2
"Didit S Aji, Cilacap-Jombang","Simple Ekonomis dan bikin anak abak senang.
Thanks KBS.. Mudah2n tambah baik lagi dan banyak macam2 penghuni binatangnya.",1
sri martini,"terakhir kesini waktu anak masih umur 5 tahun skrg sdh umur 19 th. banyak yg berubah, wahana semakin banyak. tempatnya asri meskipun ditengah kota surabaya",1
Puspa Almas,Kebun binatang yang terletak di kota Surabaya. Alternatif tempat kunjungan apabila bosan kulineran atau ke mall. Lokasi luas dengan berbagai koleksi satwa. Pengunjung bisa menikmati suasana asri pepohonan saat berjalan di dalam kebun …,1
Fariz Dai,"Tiket murah sih cuma 15k.
Tapi didalem kalau mau explor lebih banyak harus bayar tiket lagi.
Lumayan buat sesekali refreshing disana",0
dinna apriliyanti,"KBS sekarang lebih bagus,banyak spot foto , tempat binatangnya juga sudah banyak yang diperbaiki, bisa feeding beberapa hewan, HTM juga murah meriah",1
Findy Artha,"Bagus sudah banyak renov, tiket harga rakyat, banyak track jalan baru yg green banget …",1
Miss Indri,Hari ini buka HTM Rp. 15.000/orang. Update postingan 1 tahun lalu 🤭 sudah bnyak perubahan. Hewan-hewannya lebih banyak. Tempat hewannya juga lebih menarik. Masih terus dibangun agar lebih bagus lagi kayaknya. Rame hari ini pas hari libur …,1
Wulan Sari,"Sekarang bagus banyak spot foto binatang nya banyak dan bersih sepanjang jalan , jadi senang anak2 melihat hewan2",1
Wulan Permatasari,"Gede banget sih ini Bonbin nya. Tiket masuk pas weekend 15ribu, banyak yg jual minuman makanan dan souvenir, banyak pohon2nya jg, Jd adem banget.. rekomen yg mau ngajak anaknya ke Bonbin,",1
Azizah El_fharichah,"Tempatnya sejuk dan bersih, hanya saja hewannya tidak begitu banyak dan ada kandang yg kosong juga😁🙏 …",0
Gunaone,"Tempatnya luas banget, cocok untuk sekedar bersantai bareng keluarga. Binatangnya juga lumayan banyak jenisnya.",1
Rachman Fajar,"Tempatnya bagus untuk rekreasi bersama keluarga, semoga perawatan terhadap hewan bisa di tingkatkan lagi ,untuk harimau agak sedikit kurus",0
Elfrida Hutapea,"Kebun Binatang Surabaya (Surabaya Zoo) terawat dan sejuk.  Tiket hanya 15 ribu rupiah. Terjangkau untuk semua kalangan. Jangan lupa liat aquarium di area dalam KBS. Variasi ikannya cukup banyak, betah lama² di sini. Tiket nya 30 ribu …",1
FITRIANA INH,"Coba kalau kebersihan dan track alur dr pintu masuk sampai pintu keluar lebih diperhatikan, pasti bakal lebih nyaman",2
sofie ramadhani,Bagus dan edukatif.. Tp kurang urut aja melihat koleksi satwa nya... Mgkn karena kbs lbih memilih konteks bebas untuk pengunjung...,0
agung satu,"Untuk pemandangan hijau-hijauan di pusat kota Surabaya rekomen sih kalo kebun binatang surabaya. Bisa untuk edukasi seluruh usia, harga tiket masuk juga termasuk terjangkau",1
windy aditya,"lokasi sangat teduh, luas, htm terjangkau, toilet tersedia dimana-mana dan bersih, tapi sayang tempat cuci tangan yg dekat museum tidak keluar airnya begitu tanya petugas ternyata sudah tau. kenapa tidak diperbaiki ya?",2
Asmuni Adhi,"Anak sy senang bisa naik gajah, dijaga terus kebersihannya & nyaman. Kalo bisa tambahin spot2 buat istirahat, krn jauh keliling jalannya hehee.., kalo ada sewa electrik bike spy gk capek buat anak2.",1
Ratna Djusuf,Tempat bersih banyak hiburannya harga tiket murah meriah meskipun suasana lebaran,1
Pandu W. Marwah,Kesini sambil refresing juga sambil mengenalkan berbagai jenis hewan pada anak. Agak pegel juga jalan kaki cukup jauh muter2 nya. Di sarankan bawa bekal makanan dan minuman terutama bagi yang mengajak anak2.,1
Saif Udin,"Tempat nya enak buat main dn seru bisa lihat macam"" hewann di sanaa",1
Putri Yunisda,"tiket masuk 15.000 pas hari minggu, kalo hri biasa bisa cashless tapi kalo weekend dianjurkan cash aja sih biar ga antri lama. ruame banget pas weekend, hewan hewannya juga terawat dengan baik.",1
Joka Poerbianto,"Sangat recommended untuk wisata edukasi anak-anak bersama keluarga, tiket masuk terjangkau, bisa kasi makan satwa tetapi dengan membayar lagi. Banyak foodcourt di dalamnya, ada toilet, ada musholla.",1
Fitrotul Fadillah,"Mengunjungi kebun Binatang merupakan tujuan wisata edukasi tentang binatang. Bagi yg tidak suka kerumunan, hindari datang pada waktu hari libur krn pengunjungnya bisa sangat padat... Harga tiket terjangkau, 15rb/ org.",1
Endrasmana 94,"Toiletnya kurang
Seharusnya toilet di tambah di beberapa titik
Karna saat pengunjung ngegeludak bingung & antri
& Jarak toilet 1 dengan yg lainnya terlalu jauh",2
Galang Firdaus,"Terakhir ke sini waktu masih TK dan sekarang sudah menikah, banyak sekali yang sudah berubah dan binatangnya jadi lebih banyak.",1
Anwari,Suasanaya luar biasa nyaman dan membawa saya terus ingin ke sini setiap saat semoga kwisatanya ramai dnsukses selalu  😘😘😘 …,1
Syamsudin Achmadi,"Alhamdulillah sudah di buka lagi, untuk pembelian tiket harus online,tapi dari tanggal 20 Oktober 2021 sudah bisa beli langsung di tempat,anak di bawah 12 tahun sudah bisa masuk, untuk orang tua pakai aplikasi peduli lindungi buat scan …",1
Afif Usman,"Masih menjadi favorit dari zaman dahulu,untuk yang mau berwisata edukasi dan wisata keluarga yang terjangkau",1
Suka Deni Krisbiyanto,"Tempat rekreasi dan edukasi untuk anak..HTM relatif terjangkau 15.000/org,tempat nyaman dan rindang..untuk lebih hemat nya bawa makanan sendiri dari rumah😁,disini jg terdapat food court untuk pengunjung yg tidak bawa bekal dari rumah..hari Minggu sangat ramai pengunjung dari berbagai daerah …",1
